@relation dataset_accelerometer

@attribute id numeric
@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute timestamp numeric
@attribute tag {OTHER,POCKET}

@data
11188,-1.254562,-9.940725,-0.172383,382061778814825,OTHER
11189,-1.206678,-9.864111,-0.086191,382061798894999,OTHER
11190,-1.235408,-9.940725,-0.086191,382061818975175,OTHER
11191,-1.235408,-10.036493,-0.067038,382061839055349,OTHER
11192,-1.149217,-9.959879,-0.086191,382061859105007,OTHER
11193,-1.149217,-9.931149,-0.076614,382061879185181,OTHER
11194,-1.216254,-9.940725,-0.134075,382061899265357,OTHER
11195,-1.225831,-9.959879,-0.134075,382061919345531,OTHER
11196,-1.235408,-9.911995,-0.086191,382061939425705,OTHER
11197,-1.206678,-9.931149,-0.124498,382061959505881,OTHER
11198,-1.206678,-9.969456,-0.086191,382061979586055,OTHER
11199,-1.216254,-9.911995,-0.057461,382061999666231,OTHER
11200,-1.244985,-9.959879,-0.076614,382062019746405,OTHER
11201,-1.158794,-9.950302,-0.172383,382062039826579,OTHER
11202,-1.091756,-9.940725,-0.02873,382062059876237,OTHER
11203,-1.197101,-9.921572,0,382062079986929,OTHER
11204,-1.16837,-9.959879,-0.02873,382062100067105,OTHER
11205,-1.225831,-9.911995,-0.02873,382062120147279,OTHER
11206,-1.16837,-9.902418,-0.02873,382062140196937,OTHER
11207,-1.13964,-9.969456,-0.057461,382062160277111,OTHER
11208,-1.149217,-9.892841,0.047884,382062180357287,OTHER
11209,-1.206678,-9.921572,-0.047884,382062200437461,OTHER
11210,-1.235408,-9.931149,-0.076614,382062220517636,OTHER
11211,-1.225831,-9.921572,0,382062240597811,OTHER
11212,-1.158794,-9.959879,-0.02873,382062260677985,OTHER
11213,-1.149217,-9.931149,0.038307,382062280758161,OTHER
11214,-1.16837,-9.969456,0.009577,382062300838335,OTHER
11215,-1.225831,-9.80665,0.057461,382062320918510,OTHER
11216,-1.264138,-9.921572,-0.019154,382062340998685,OTHER
11217,-1.16837,-9.902418,-0.047884,382062361078859,OTHER
11218,-1.149217,-9.921572,-0.067038,382062381159034,OTHER
11219,-1.082179,-9.988609,-0.076614,382062401239209,OTHER
11220,-1.034295,-9.950302,-0.019154,382062421288867,OTHER
11221,-1.149217,-9.864111,-0.02873,382062441399559,OTHER
11222,-1.206678,-9.969456,-0.038307,382062461449217,OTHER
11223,-1.149217,-9.902418,-0.019154,382062481529391,OTHER
11224,-1.225831,-9.969456,-0.019154,382062501609566,OTHER
11225,-1.206678,-9.940725,-0.009577,382062521689741,OTHER
11226,-1.216254,-9.969456,0.047884,382062541769915,OTHER
11227,-1.225831,-9.921572,-0.009577,382062561850091,OTHER
11228,-1.225831,-9.911995,-0.038307,382062581930265,OTHER
11229,-1.149217,-9.902418,-0.02873,382062602010440,OTHER
11230,-1.120486,-9.911995,-0.019154,382062622090615,OTHER
11231,-1.13964,-9.931149,0.047884,382062642170789,OTHER
11232,-1.158794,-9.911995,0.02873,382062662220447,OTHER
11233,-1.158794,-9.979033,0.057461,382062682300622,OTHER
11234,-1.120486,-9.950302,-0.009577,382062702380797,OTHER
11235,-1.130063,-9.940725,0,382062722460972,OTHER
11236,-1.120486,-9.883265,-0.057461,382062742541147,OTHER
11237,-1.130063,-9.998186,-0.105345,382062762621321,OTHER
11238,-1.13964,-9.959879,-0.019154,382062782701496,OTHER
11239,-1.13964,-9.902418,0.019154,382062802781671,OTHER
11240,-1.216254,-9.883265,0.038307,382062822861846,OTHER
11241,-1.216254,-9.950302,-0.02873,382062842942020,OTHER
11242,-1.206678,-9.940725,-0.02873,382062863022195,OTHER
11243,-1.101333,-9.931149,-0.047884,382062883102370,OTHER
11244,-1.177947,-9.911995,-0.057461,382062903152028,OTHER
11245,-1.216254,-9.998186,0.019154,382062923232203,OTHER
11246,-1.187524,-9.931149,-0.009577,382062943312377,OTHER
11247,-1.130063,-9.950302,-0.019154,382062963392552,OTHER
11248,-1.16837,-9.864111,-0.009577,382062983472727,OTHER
11249,-1.130063,-9.911995,0.02873,382063003552902,OTHER
11250,-1.13964,-9.979033,-0.02873,382063023633076,OTHER
11251,-1.177947,-9.969456,-0.038307,382063043713251,OTHER
11252,-1.158794,-9.979033,0.009577,382063063793426,OTHER
11253,-1.13964,-9.902418,0.019154,382063083843084,OTHER
11254,-1.16837,-9.921572,0,382063103923259,OTHER
11255,-1.091756,-9.921572,0,382063124003434,OTHER
11256,-1.149217,-9.892841,-0.057461,382063144083608,OTHER
11257,-1.120486,-9.950302,-0.047884,382063164163783,OTHER
11258,-1.149217,-9.950302,-0.114922,382063184243958,OTHER
11259,-1.187524,-9.931149,-0.038307,382063204324132,OTHER
11260,-1.158794,-9.988609,-0.057461,382063224404308,OTHER
11261,-1.177947,-9.950302,-0.02873,382063244484482,OTHER
11262,-1.158794,-9.940725,-0.02873,382063264534140,OTHER
11263,-1.158794,-9.979033,0,382063284614315,OTHER
11264,-1.197101,-9.959879,-0.009577,382063304694490,OTHER
11265,-1.225831,-9.959879,-0.095768,382063324774664,OTHER
11266,-1.11091,-9.931149,-0.038307,382063344854839,OTHER
11267,-1.130063,-9.873688,0.038307,382063364935014,OTHER
11268,-1.149217,-9.959879,0.057461,382063385015189,OTHER
11269,-1.177947,-9.921572,-0.019154,382063405095364,OTHER
11270,-1.177947,-9.883265,-0.057461,382063425175538,OTHER
11271,-1.177947,-9.931149,-0.038307,382063445225196,OTHER
