@relation dataset_accelerometer_unlabeled

@attribute ﻿id numeric
@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute timestamp numeric

@data
1481,0.019154,-0.335188,9.911995,381866865646743
1482,0.019154,-0.296881,10.026917,381866885726918
1483,-0.019154,-0.277727,10.0748,381866905807093
1484,-0.057461,-0.325611,10.026917,381866925887267
1485,0,-0.277727,9.998186,381866945967442
1486,-0.019154,-0.306458,10.0748,381866966047617
1487,-0.105345,-0.296881,10.01734,381866986127792
1488,0.019154,-0.335188,9.988609,381867006207967
1489,-0.009577,-0.306458,10.036493,381867026257625
1490,-0.057461,-0.287304,10.007763,381867046337799
1491,-0.019154,-0.277727,10.026917,381867066417974
1492,0.009577,-0.335188,10.04607,381867086498149
1493,-0.009577,-0.335188,9.988609,381867106578323
1494,-0.02873,-0.354342,10.065224,381867126658499
1495,-0.067038,-0.277727,10.026917,381867146738673
1496,-0.047884,-0.316035,10.04607,381867166818848
1497,-0.02873,-0.325611,10.026917,381867186899023
1498,-0.009577,-0.306458,10.007763,381867206979197
1499,0.009577,-0.335188,10.065224,381867227059372
1500,0.067038,-0.392649,10.036493,381867247139547
1501,-0.02873,-0.277727,9.998186,381867267219722
1502,-0.038307,-0.325611,9.979033,381867287299897
1503,-0.038307,-0.287304,9.998186,381867307380071
1504,-0.02873,-0.316035,9.988609,381867327460246
1505,0.047884,-0.392649,10.0748,381867347540421
1506,-0.047884,-0.277727,10.01734,381867367620596
1507,-0.047884,-0.287304,10.007763,381867387670254
1508,-0.02873,-0.229843,10.036493,381867407750428
1509,-0.019154,-0.316035,9.998186,381867427830603
1510,-0.009577,-0.306458,9.988609,381867447910778
1511,0.019154,-0.316035,10.04607,381867467990953
1512,-0.02873,-0.325611,10.084377,381867488071128
1513,-0.038307,-0.306458,9.998186,381867508151302
1514,-0.076614,-0.306458,10.0748,381867528231477
1515,0.009577,-0.287304,10.084377,381867548311652
1516,0.047884,-0.268151,9.988609,381867568391826
1517,0,-0.287304,10.04607,381867588472002
1518,-0.019154,-0.296881,10.01734,381867608552176
1519,-0.067038,-0.316035,10.026917,381867628632351
1520,0.02873,-0.354342,10.04607,381867648712526
1521,-0.047884,-0.316035,10.01734,381867668792700
1522,-0.019154,-0.363919,10.007763,381867688872876
1523,0.02873,-0.325611,10.0748,381867708953050
1524,0.019154,-0.325611,10.01734,381867729033225
1525,-0.02873,-0.277727,9.998186,381867749113400
1526,-0.038307,-0.335188,10.055647,381867769193574
1527,-0.038307,-0.316035,10.026917,381867789273750
1528,-0.019154,-0.306458,10.01734,381867809353924
1529,0.009577,-0.335188,10.026917,381867829434098
1530,-0.086191,-0.344765,10.04607,381867849514274
1531,-0.02873,-0.287304,10.01734,381867869594448
1532,-0.047884,-0.306458,9.998186,381867889674624
1533,-0.057461,-0.325611,9.988609,381867909754798
1534,-0.02873,-0.325611,10.04607,381867929834972
1535,-0.009577,-0.325611,10.007763,381867949915148
1536,0.009577,-0.316035,9.969456,381867969995322
1537,-0.047884,-0.296881,9.979033,381867990075497
1538,0.057461,-0.316035,9.998186,381868010155672
1539,-0.009577,-0.248997,10.01734,381868030235847
1540,0.009577,-0.325611,9.988609,381868050316022
1541,-0.057461,-0.344765,10.0748,381868070396196
1542,-0.009577,-0.287304,10.0748,381868090476371
1543,-0.009577,-0.306458,10.04607,381868110556546
1544,-0.02873,-0.248997,10.007763,381868130636721
1545,0.009577,-0.287304,9.979033,381868150716896
1546,-0.019154,-0.296881,9.998186,381868170797070
1547,-0.038307,-0.335188,9.969456,381868190877245
1548,-0.009577,-0.373495,10.04607,381868210957420
1549,-0.047884,-0.287304,10.036493,381868231037595
1550,-0.038307,-0.296881,10.01734,381868251087252
1551,0.038307,-0.268151,10.026917,381868271167427
1552,-0.057461,-0.287304,10.007763,381868291247602
1553,-0.019154,-0.306458,9.969456,381868311327777
1554,0,-0.316035,10.04607,381868331407952
1555,-0.02873,-0.277727,10.007763,381868351488126
1556,-0.019154,-0.344765,10.01734,381868371568301
1557,-0.019154,-0.335188,10.055647,381868391648476
1558,0.009577,-0.287304,10.007763,381868411728651
1559,0,-0.344765,10.026917,381868431808825
1560,-0.02873,-0.344765,10.007763,381868451889000
1561,-0.02873,-0.344765,10.04607,381868471969175
1562,-0.038307,-0.306458,10.0748,381868492049350
1563,0,-0.268151,10.065224,381868512129525
1564,0.019154,-0.296881,10.01734,381868532209699
1565,0.02873,-0.296881,9.931149,381868552289875
1566,0.019154,-0.248997,9.988609,381868572370049
1567,0,-0.287304,10.055647,381868592419707
1568,0.067038,-0.296881,9.998186,381868612499882
1569,-0.019154,-0.287304,10.007763,381868632580057
1570,0,-0.287304,10.026917,381868652660231
1571,-0.02873,-0.296881,9.998186,381868672740406
1572,-0.057461,-0.316035,10.0748,381868692820581
1573,-0.038307,-0.354342,10.026917,381868712900755
1574,0.076614,-0.277727,9.988609,381868732980931
1575,-0.047884,-0.354342,10.084377,381868753061105
1576,-0.019154,-0.277727,10.04607,381868773141280
1577,0.009577,-0.344765,9.988609,381868793221455
1578,0.019154,-0.306458,10.026917,381868813301629
1579,-0.047884,-0.296881,10.04607,381868833381805
1580,-0.019154,-0.335188,10.036493,381868853431462
1581,-0.019154,-0.268151,10.084377,381868873511637
1582,-0.019154,-0.335188,10.007763,381868893591811
1583,-0.009577,-0.344765,10.036493,381868913671987
1584,0,-0.287304,10.026917,381868933752161
1585,0.02873,-0.306458,9.969456,381868953832336
1586,-0.02873,-0.306458,10.04607,381868973912511
1587,0.009577,-0.316035,10.01734,381868993992685
1588,-0.047884,-0.287304,9.969456,381869014072861
1589,-0.02873,-0.363919,10.036493,381869034153035
1590,-0.038307,-0.277727,10.01734,381869054233210
1591,-0.02873,-0.316035,10.01734,381869074313385
1592,-0.038307,-0.306458,9.998186,381869094393559
1593,-0.009577,-0.325611,9.969456,381869114473735
1594,0,-0.306458,10.026917,381869134553909
1595,-0.038307,-0.287304,10.007763,381869154634084
1596,0.038307,-0.325611,10.055647,381869174714259
1597,-0.019154,-0.296881,10.065224,381869194794433
1598,0.047884,-0.316035,9.979033,381869214874609
1599,-0.038307,-0.296881,10.01734,381869234924267
1600,-0.086191,-0.287304,9.998186,381869255004441
1601,-0.009577,-0.287304,10.04607,381869275084615
1602,0.009577,-0.277727,10.0748,381869295164791
1603,-0.019154,-0.335188,10.04607,381869315244965
1604,-0.038307,-0.344765,9.998186,381869335325140
1605,0.019154,-0.316035,10.04607,381869355405315
1606,0.02873,-0.344765,10.026917,381869375485489
1607,0.009577,-0.306458,10.0748,381869395565665
1608,0,-0.325611,10.055647,381869415615323
1609,-0.047884,-0.248997,10.055647,381869435695497
1610,0,-0.316035,10.065224,381869455775671
1611,0.019154,-0.296881,10.065224,381869475855847
1612,0.009577,-0.335188,10.007763,381869495936021
1613,-0.02873,-0.344765,10.04607,381869516016196
1614,-0.019154,-0.306458,9.998186,381869536096371
1615,-0.057461,-0.296881,10.04607,381869556176546
1616,0,-0.296881,10.026917,381869576256721
1617,-0.095768,-0.325611,10.055647,381869596306379
1618,0,-0.363919,10.055647,381869616386553
1619,0,-0.306458,10.055647,381869636466728
1620,0.009577,-0.411803,10.0748,381869656546903
1621,0,-0.277727,9.998186,381869676627077
1622,-0.02873,-0.268151,10.026917,381869696707252
1623,-0.019154,-0.306458,10.04607,381869716787427
1624,0.009577,-0.344765,10.01734,381869736867602
1625,0.057461,-0.316035,9.998186,381869756947777
1626,0.019154,-0.23942,10.01734,381869777027951
1627,-0.038307,-0.344765,10.036493,381869797108126
1628,0,-0.325611,10.026917,381869817188301
1629,-0.038307,-0.344765,9.931149,381869837237959
1630,-0.02873,-0.287304,10.007763,381869857318133
1631,-0.009577,-0.383072,10.04607,381869877398309
1632,-0.047884,-0.316035,9.979033,381869897478483
1633,-0.009577,-0.325611,10.055647,381869917558658
1634,-0.009577,-0.325611,10.04607,381869937638833
1635,0.02873,-0.325611,10.036493,381869957719007
1636,0.009577,-0.277727,10.04607,381869977799182
1637,-0.019154,-0.325611,10.055647,381869997879357
1638,0.057461,-0.325611,9.998186,381870017959532
1639,-0.086191,-0.277727,9.998186,381870038039707
1640,-0.067038,-0.306458,10.065224,381870058119882
